Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
1997.0,Kevin Abrams,Syracuse,CB,68.4,174.0,9.88,32.0,,,,,,,,
1997.0,Mike Adams,Texas,WR,71.4,184.0,9.13,31.63,,4.59,,29.5,112.0,4.38,7.51,11.89
1997.0,Winston Alderson,Arkansas,OT,76.1,344.0,10.88,36.5,,5.6,,24.5,92.0,5.25,8.85,
1997.0,Ink Aleaga,Washington,ILB,73.0,227.0,9.13,32.0,,4.87,,31.0,107.0,4.33,7.6,11.77
1997.0,Eric Allen,Indiana,FS,72.0,205.0,9.0,31.75,,4.78,,34.0,116.0,4.22,7.27,11.69
1997.0,James Allen,Oklahoma,RB,70.1,212.0,9.0,31.88,,,11.0,31.0,,,,
1997.0,John Allred,Southern California,TE,76.4,244.0,10.0,32.5,,5.01,15.0,32.0,112.0,4.32,7.45,11.7
1997.0,Richard Alvarado,Jackson State (MS),OLB,74.6,239.0,9.0,32.75,,4.92,18.0,33.5,115.0,4.28,7.48,11.99
1997.0,Antonio Anderson,Syracuse,DE,78.6,314.0,10.0,37.75,,,,,,,,
1997.0,Reidel Anthony,Florida,WR,71.5,183.0,9.25,32.5,,,,,,,,
1997.0,Jim Arellanes,Frenso State (CA),QB,75.1,211.0,9.75,32.25,,5.19,,27.0,102.0,4.67,8.03,
1997.0,Duane Ashman,Virginia,DE,75.5,274.0,9.5,35.63,,5.03,19.0,32.5,110.0,4.83,8.8,
1997.0,Ty Atteberry,Baylor,P,72.4,199.0,9.75,30.88,,,,,,,,
1997.0,Raymond Austin,Tennessee,SS,70.6,190.0,10.25,32.0,,4.8,12.0,32.5,111.0,4.05,7.14,11.23
1997.0,Darnell Autry,Northwestern,RB,70.8,210.0,10.0,32.38,,,,34.0,114.0,,,
1997.0,Brad Badger,Stanford,OG,76.4,296.0,9.13,34.0,,5.22,21.0,32.5,111.0,4.13,,
1997.0,Antonio Banks,Virginia Tech,CB,70.0,203.0,9.5,32.0,,4.66,18.0,36.0,117.0,4.41,7.85,
1997.0,Ronde Barber,Virginia,CB,69.4,185.0,9.5,31.63,,4.68,14.0,34.5,118.0,4.46,7.22,11.45
1997.0,Tiki Barber,Virginia,RB,69.4,203.0,9.5,31.75,,4.56,15.0,35.5,120.0,4.0,7.18,11.19
1997.0,Derrick Barnes,Oregon,OLB,72.9,261.0,9.25,33.63,,4.92,15.0,33.0,109.0,4.42,7.88,12.25
1997.0,Pat Barnes,California,QB,75.1,212.0,9.5,32.0,,,,,,,,
1997.0,James Bates,Florida,ILB,73.0,230.0,9.0,31.63,,4.92,,32.5,115.0,4.29,7.67,12.09
1997.0,Terry Battle,Arizona State,RB,70.6,197.0,9.38,31.88,,4.71,16.0,34.5,118.0,,,
1997.0,Bert Berry,Notre Dame,DE,74.6,243.0,9.63,34.13,,4.64,27.0,37.5,123.0,4.49,7.79,
1997.0,Will Blackwell,San Diego State,WR,72.0,185.0,9.75,33.38,,4.62,,34.0,120.0,4.28,7.31,11.43
1997.0,Michael Booker,Nebraska,CB,73.3,203.0,9.25,33.0,,,10.0,,,,,
1997.0,Ben Bordelon,Louisiana State,OT,77.1,298.0,10.75,33.75,,5.42,22.0,28.0,104.0,4.73,8.25,
1997.0,Peter Boulware,Florida State,DE,76.1,254.0,9.75,33.75,,4.76,,34.0,118.0,4.2,7.64,
1997.0,Calvin Branch,Colorado State,RB,71.4,200.0,9.63,33.0,,4.49,18.0,39.0,127.0,4.08,7.12,11.23
1997.0,Will Brice,Virginia,P,76.0,225.0,9.25,34.0,,,,,,,,
1997.0,Zack Bronson,McNeese State (LA),FS,72.4,190.0,9.25,33.63,,4.66,9.0,33.5,115.0,4.35,7.63,11.76
1997.0,Macey Brooks,James Madison (VA),WR,76.6,214.0,9.88,35.13,,4.65,,38.5,125.0,4.13,7.31,11.43
1997.0,Cornell Brown,Virginia Tech,DE,73.1,244.0,9.13,33.75,,5.0,19.0,32.0,115.0,4.33,7.81,
1997.0,Rod Brown,North Carolina State,FB,71.5,245.0,9.5,32.25,,5.03,25.0,28.0,102.0,,,
1997.0,Lamont Burns,East Carolina (NC),OG,75.6,299.0,9.88,35.0,,5.32,30.0,28.5,109.0,4.7,,
1997.0,Kenney Bynum,South Carolina State,RB,70.8,190.0,9.0,31.5,,4.53,11.0,35.5,124.0,4.13,7.47,11.43
1997.0,Chris Canty,Kansas State,CB,69.6,194.0,9.5,30.75,,,,,,,,
1997.0,Byron Capers,Florida State,CB,73.0,202.0,8.75,32.63,,4.66,14.0,31.0,116.0,4.44,7.51,11.84
1997.0,William Carr,Michigan,DT,72.1,302.0,9.25,33.5,,5.41,19.0,25.5,83.0,5.14,8.42,
1997.0,Rae Carruth,Colorado,WR,70.6,194.0,9.5,31.13,,,,,,,,
1997.0,Chris Carter,Texas,FS,73.3,200.0,9.25,33.13,,,16.0,,,,,
1997.0,Mike Cherry,Murray State (KY),QB,75.9,222.0,9.75,33.25,,5.11,,28.5,105.0,4.38,7.8,
1997.0,Pete Chryplewicz,Notre Dame,TE,76.6,253.0,10.0,33.63,,4.88,,30.5,111.0,4.32,7.48,11.62
1997.0,Greg Clark,Stanford,TE,76.4,262.0,10.13,33.25,,4.99,30.0,31.0,115.0,4.12,7.51,11.79
1997.0,Chuck Clements,Houston,QB,74.6,211.0,9.5,32.25,,4.98,,31.5,108.0,4.36,7.69,
1997.0,Dexter Coakley,Appalachian State (NC),OLB,69.6,215.0,9.75,32.5,,4.52,21.0,38.0,125.0,4.21,7.48,11.52
1997.0,Lyron Cobbins,Notre Dame,ILB,71.9,249.0,10.0,32.63,,4.84,22.0,32.5,117.0,4.39,7.6,12.06
1997.0,Nate Cochran,Pittsburgh,P,76.9,215.0,10.0,32.5,,,,,,,,
1997.0,Stalin Colinet,Boston College,DE,78.1,279.0,10.5,36.0,,4.92,24.0,35.5,103.0,4.49,7.85,
1997.0,Calvin Collins,Texas A&M,OG,73.6,307.0,9.5,33.88,,5.19,22.0,28.0,102.0,4.61,,
1997.0,Billy Conaty,Virginia Tech,C,74.5,300.0,10.0,32.0,,5.45,25.0,29.0,,,,
1997.0,Albert Connell,Texas A&M,WR,72.4,184.0,8.88,31.5,,4.55,,,,,,
1997.0,Brett Conway,Penn State,K,74.1,191.0,9.25,32.5,,,,,,,,
1997.0,Andre Cooper,Florida State,WR,74.0,195.0,9.25,35.63,,,,,,,,
1997.0,Damion Cooper,Central State (OH),DE,75.4,260.0,10.5,35.25,,,25.0,29.5,112.0,,,
1997.0,Kenyon Cotton,Southwestern Louisiana,FB,72.0,254.0,10.25,32.5,,4.89,15.0,31.5,101.0,4.33,7.86,12.33
1997.0,Marcus Crandell,East Carolina (NC),QB,71.4,204.0,9.25,32.75,,4.78,,30.0,105.0,4.67,8.25,
1997.0,Vernon Crawford,Florida State,OLB,75.5,249.0,10.13,33.5,,4.94,,32.5,112.0,4.44,7.76,12.56
1997.0,Henri Crockett,Florida State,ILB,74.1,249.0,10.0,33.0,,,17.0,34.5,111.0,4.46,7.54,11.97
1997.0,Demontie Cross,Missouri,SS,72.9,213.0,9.25,33.38,,5.02,14.0,28.5,,4.36,7.45,12.21
1997.0,Canute Curtis,West Virginia,DE,74.1,260.0,9.75,33.63,,4.89,,30.0,,,,
1997.0,Mario Daniel,Ohio,DT,73.8,324.0,10.25,34.13,,5.4,24.0,24.5,101.0,4.81,8.22,
1997.0,Jerome Daniels,Northeastern (MA),OT,77.1,356.0,10.25,36.25,,5.63,25.0,27.5,,,,
1997.0,Juan Daniels,Georgia,WR,73.1,210.0,9.13,32.25,,4.59,,34.5,114.0,4.33,7.54,
1997.0,James Darling,Washington State,ILB,72.5,247.0,9.25,32.63,,,22.0,,,,,
1997.0,Jason Davis,Western State Colorado,QB,75.5,220.0,9.0,33.25,,4.92,,30.5,107.0,4.33,7.85,
1997.0,Jerome Davis,Minnesota,DE,76.6,275.0,10.88,35.75,,,,,,,,
1997.0,Nathan Davis,Indiana,DE,77.1,312.0,9.75,34.13,,,27.0,,,,,
